suburb,postcode,lga,latitude,longitude,irsd_score,irsd_decile,ier_score,ier_decile,ieo_score,ieo_decile,medianPrice,growth1yr,crimeRate,schoolRating,schoolCount,primarySchools,secondarySchools,primaryCommuteMinutes,secondaryCommuteMinutes,rentalYield,transitScore,walkScore,parksDensity,childcareCenters,shoppingCenters,cafesRestaurants,medicalCenters,bikeScore,category
Ringwood North,3134,Maroondah,-37.795271,145.2352519,1085,9,1095,10,1077,8,1182500,-5.4,208.37,60.0,0,0,0,18,73,4,39,75,3,3,2,10,2,50,OUTER GROWTH
Ripponlea,3185,Port Phillip,-37.8765878,144.9953278,1078,9,978,4,1147,10,0,0.0,519.82,60.0,0,0,0,0,0,4,73,90,3,3,2,10,2,50,INNER METRO
Rockbank,3335,Melton,-37.7341559,144.6668051,1035,7,1076,9,1019,7,0,0.0,224.38,60.0,0,0,0,0,0,4,50,3,3,3,2,10,2,50,OUTER GROWTH
Rosanna,3084,Banyule,-37.7409649,145.0683729,1075,9,1028,7,1112,9,944000,-2,252.91,60.0,0,0,0,0,0,4,51,77,3,3,2,10,2,50,OUTER GROWTH
Rosebud,3939,Mornington Peninsula,-38.3680733,144.9086168,982,4,977,4,947,4,768000,1.05,187.39,60.0,0,0,0,66,13,4,22,23,3,3,2,10,2,50,BAYSIDE
Rowville,3178,Knox,-37.9210442,145.2424941,1054,8,1061,9,1025,7,1088000,-1.54,243.52,60.0,0,0,0,28,65,4,47,67,3,3,2,10,2,50,OUTER GROWTH
Roxburgh Park,3064,Hume,-37.6191629,144.9278395,895,1,988,5,953,4,727500,4,317.21,60.0,0,0,0,0,0,4,36,29,3,3,2,10,2,50,OUTER GROWTH
Rye,3941,Mornington Peninsula,-38.3732839,144.8176554,1023,6,1024,6,994,6,920000,-16.36,187.39,60.0,0,0,0,77,2,4,31,42,3,3,2,10,2,50,BAYSIDE
Safety Beach,3936,Mornington Peninsula,-38.3209972,144.987458,1029,6,1027,7,1000,6,1171250,-1.16,187.39,60.0,0,0,0,63,22,4,30,6,3,3,2,10,2,50,BAYSIDE
Sandhurst,3977,Frankston,-38.080287,145.2101074,1049,8,1082,9,996,6,1055000,4.61,306.42,90.0,21,14,5,41,54,4,26,8,3,3,2,10,2,50,OUTER GROWTH
Sandown Village,3171,Greater Dandenong,-37.9348302,145.1689511,940,3,973,4,975,5,0,0.0,100.0,86.4,5,3,2,0,0,4,42,64,3,3,2,10,2,50,OUTER GROWTH
Sandringham,3191,Bayside,-37.9533967,145.0135139,1094,10,1068,9,1136,10,2100000,5,243.49,60.0,0,0,0,68,75,4,48,67,3,3,2,10,2,50,BAYSIDE
Sassafras,3787,Yarra Ranges,-37.8645935,145.353065,1087,10,1114,10,1028,7,940000,9.3,131.08,60.0,0,0,0,40,86,4,27,42,3,3,2,10,2,50,HILLS & RANGES
