# FOR PERSONAL USE ONLY - Testing B-Score functionality
# Contains test data for simulating user property evaluations
# The sourceUrl field contains personal test data links - FOR PERSONAL USE ONLY
id,address,suburb,postcode,price,propertyType,landSize,bedrooms,bathrooms,streetQuality,renovationCost,hampzScore,gaheeScore,bScore,isFavorite,tags,notes,dateAdded,sourceUrl
1763301038259,"41 Patterson Street, Bonbeach VIC 3196","Bonbeach",3196,650000,house,0,2,1,3,0,0,0,0,No,FALSE,,2025-11-16,"https://www.domain.com.au/41-patterson-street-bonbeach-vic-3196-2020323102"
1763301173868,"24 Dotterel Court, Chelsea Heights VIC 3196","Chelsea",3196,680000,house,0,3,1,3,0,0,0,0,No,FALSE,,2025-11-16,"https://www.domain.com.au/24-dotterel-court-chelsea-heights-vic-3196-2020343053"
1763301347110,"13 Cerberus Road, Baxter VIC 3911","Baxter",3911,550000,house,0,2,1,3,0,0,0,0,No,FALSE,,2025-11-16,"https://www.domain.com.au/13-cerberus-road-baxter-vic-3911-2020356903"
1763301711946,"189 Craig Road, Pearcedale VIC 3912","Pearcedale",3912,630000,house,0,6,5,3,0,0,0,0,No,FALSE,,2025-11-16,"https://www.domain.com.au/189-craig-road-pearcedale-vic-3912-2019102126"
1763301940217,"4 Winx Lane, Cranbourne East VIC 3977","Pearcedale",3977,620000,house,257,3,2,3,0,0,0,0,No,FALSE,,2025-11-16,"https://www.domain.com.au/4-winx-lane-cranbourne-east-vic-3977-2020292206"
1763301976708,"7 Chloe Court, Cranbourne West VIC 3977","Pearcedale",3977,590000,house,490,2,1,3,0,0,0,0,No,FALSE,,2025-11-16,"https://www.domain.com.au/7-chloe-court-cranbourne-west-vic-3977-2020350518"
1763302042195,"153 Riverwood Drive, Junction Village VIC 3977","Pearcedale",3977,630000,house,0,3,2,3,0,0,0,0,No,FALSE,,2025-11-16,"https://www.domain.com.au/153-riverwood-drive-junction-village-vic-3977-2020382294"
1763302196782,"7 Woodright Circuit, Cranbourne VIC 3977","Cranbourne",3977,620000,house,164,3,2,3,0,0,0,0,No,FALSE,,2025-11-16,"https://www.domain.com.au/7-woodright-circuit-cranbourne-vic-3977-2020414632"
1763302247766,"21 Marklin Street, Cranbourne VIC 3977","Cranbourne",3977,421000,house,276,4,3,3,0,0,0,0,0,No,FALSE,,2025-11-16,"https://www.domain.com.au/21-marklin-street-cranbourne-vic-3977-2020317882"
1763302283289,"20 Kirren Close, Cranbourne VIC 3977","Cranbourne",3977,320000,house,423,3,2,3,0,0,0,0,No,FALSE,,2025-11-16,"https://www.domain.com.au/20-kirren-close-cranbourne-vic-3977-2020418967"
1763302316963,"19 Fairbairn Road, Cranbourne VIC 3977","Cranbourne",3977,670000,house,656,3,1,3,0,0,0,0,No,FALSE,,2025-11-16,"https://www.domain.com.au/19-fairbairn-road-cranbourne-vic-3977-2020416705"
1763302354046,"5 Kurt Place, Cranbourne VIC 3977","Cranbourne",3977,599950,house,702,3,1,3,0,0,0,0,No,FALSE,,2025-11-16,"https://www.domain.com.au/5-kurt-place-cranbourne-vic-3977-2020397756"
1763302386221,"22 Harry Street, Cranbourne VIC 3977","Cranbourne",3977,640000,house,605,3,1,3,0,0,0,0,No,FALSE,,2025-11-16,"https://www.domain.com.au/22-harry-street-cranbourne-vic-3977-2020384010"
1763302463415,"4 Elaine Court, Cranbourne VIC 3977","Cranbourne",3977,630000,house,661,3,1,3,0,0,0,0,No,FALSE,,2025-11-16,"https://www.domain.com.au/4-elaine-court-cranbourne-vic-3977-2020370267"
1763302726156,"2 Radovic Court, Cranbourne North VIC 3977","Cranbourne North",3977,650000,house,755,3,1,3,0,0,0,0,No,FALSE,,2025-11-16,"https://www.domain.com.au/2-radovic-court-cranbourne-north-vic-3977-2020403404"
1763302852337,"8 Nesbit Court, Cranbourne North VIC 3977","Cranbourne North",3977,600000,house,500,3,1,3,0,0,0,0,No,FALSE,,2025-11-16,"https://www.domain.com.au/8-nesbit-court-cranbourne-north-vic-3977-2020398817"
1763302948230,"19 Renlik Circuit, Cranbourne North VIC 3977","Cranbourne North",3977,475000,house,168,2,0,3,0,0,0,0,No,FALSE,,2025-11-16,"https://www.domain.com.au/19-renlik-circuit-cranbourne-north-vic-3977-2020288346"
1763303066130,"4 Salers Road, Clyde North VIC 3978","Cranbourne North",3978,545000,house,0,2,1,3,0,0,0,0,No,FALSE,,2025-11-16,"https://www.domain.com.au/4-salers-road-clyde-north-vic-3978-2020415200"
